 Occurs     Accum   Support    Confid      Lift                                                                         Sequence
      157       627 0.7268519 0.7476190 0.7915966                                                                         (9)->(7) 
       68        68 0.3148148 0.4331210 0.4701213                                                                    (9)->(7)->(4) 
       75        75 0.3472222 0.4777070 0.5033401                                                                    (9)->(7)->(5) 
       82        82 0.3796296 0.5222930 0.5503185                                                                    (9)->(7)->(6) 
       84        84 0.3888889 0.5350318 0.5665043                                                                    (9)->(7)->(7) 
       79        79 0.3657407 0.5031847 0.5250623                                                                    (9)->(7)->(8) 
       86        86 0.3981481 0.5477707 0.5634213                                                                    (9)->(7)->(9) 
      161       634 0.7453704 0.7666667 0.8000000                                                                         (9)->(8) 
       76        76 0.3518519 0.4720497 0.5123755                                                                    (9)->(8)->(4) 
       76        76 0.3518519 0.4720497 0.4973792                                                                    (9)->(8)->(5) 
       82        82 0.3796296 0.5093168 0.5366460                                                                    (9)->(8)->(6) 
       78        78 0.3611111 0.4844720 0.5129704                                                                    (9)->(8)->(7) 
       76        76 0.3518519 0.4720497 0.4925736                                                                    (9)->(8)->(8) 
       80        80 0.3703704 0.4968944 0.5110914                                                                    (9)->(8)->(9) 
      162       636 0.7500000 0.7714286 0.7934694                                                                         (9)->(9) 
       74        74 0.3425926 0.4567901 0.4958124                                                                    (9)->(9)->(4) 
       75        75 0.3472222 0.4629630 0.4878049                                                                    (9)->(9)->(5) 
       81        81 0.3750000 0.5000000 0.5268293                                                                    (9)->(9)->(6) 
       85        85 0.3935185 0.5246914 0.5555556                                                                    (9)->(9)->(7) 
       83        83 0.3842593 0.5123457 0.5346216                                                                    (9)->(9)->(8) 
       80        80 0.3703704 0.4938272 0.5079365                                                                    (9)->(9)->(9) 
​
